text,label
2DP剛開業就已得到不少素食者關注，而且還有傳媒報導，風頭一時無兩。在素食群組看到的評價有正有負，當中以正評較多。抱著支持素食店的心態和點點期望去試，結果卻頗為失望。星期日中午並不算太多人，不用等位可以馬上入座。餐廳為半自助形式，到收銀處點餐後店員就會把食物送上。飲用水方面餐廳提供的是青瓜水，喝下感覺很清新，而且適合夏天。 先送上的是松露蕃薯條，餐牌上沒有註明是蛋奶素還是純素，於是就假設為純素。看到這個蕃薯條時十分失望，以$42一客來說，份量實在太少，而且賣相與餐牌上的照片大相徑庭。蕃薯條不夠熱，可能是一早炸好，不過又不夠脆，松露醬的味道又不太突出，與預期不附。         松露蕃薯條 燒西蘭花及椰菜花扒全日早餐，純素可轉為香煎豆腐扒及燒蕃薯(另外意粉類都可加$15改為純素)。全日早餐的大堆頭賣相吸引，味道卻平平無奇，甚至沒味道可言。兩塊西蘭花扒和椰菜花扒上灑了點醬汁，一般看到橙色都以為是辣椒油會有點微辣，但實際卻淡而無味。豆腐扒更全無調味可言，唯一較討好的是淋上柚子醬的沙律。這般貨色，自己在家中絕對能做到，甚至做得更好。         燒西蘭花及椰菜花扒全日早餐 荔枝西柚白茶和一般水果茶無疑，不過不失。早前有食家反映店內用上即用即棄餐具極不環保，店家有採納意見部分食物已棄用即棄餐具，希望以後可繼續改善。         荔枝西柚白茶 素食友善指數：5分 Encore指數：1分,2
"年輕人聚集點@2DP              155               198   尖沙咀厚福街12至12號A藍馬商業大廈地下              253   出行食開的沙律都沒什麼大變化，這店是我友人 推薦，沙律好吃又特別。 小店是cafe,有台灣好彩色繽紛的手搖飲品，很多年青人都買來打卡。的不喝甜飲就無法試啦，但有很多糖水甜點同素食就岩我啦！ $98 牛油果全日早餐，好油多纖維的牛油果,伴以嫩滑炒蛋，炸魚，蕃茄及沙律同熱炒菜，健康選擇。 $43 芝士辣肉碎蕃茄茄子,微辣肉醬加上芝士寧舍開胃，蕃茄酸甜能帶出及平衡辣味，芝士好香。 店大部份都是素食，香港要找素食店其實好難，中式素不是油膩就是味道一般，這店食得健康又滿意。",2
好耐無食雞煲啦！最近天氣凍咗梗係要同班friend去食雞煲打邊爐取下暖😂～ 我地叫咗個細嘅火焰麻辣雞煲（$168 for 2-3人），有五個辣度，揀咗小辣。 份量好多，大部分都係雞脾肉好正！仲有好多好甜嘅洋蔥👍🏻 賣相好靚💖             53   食之前店員會點火再炒一炒啲雞，再淋上辣汁，香辣味濃郁！ 雞脾肉好入味，啖啖肉，啱晒鍾意食肉嘅朋友😛 而且肉質好嫩滑，一個唔覺意已經食咗好多件haha～ 辣味會越嚟越香濃，但都唔算太辣，小辣啱啱好。 食完雞煲之後仲叫咗啲野食打邊爐😋 西班牙黑豚肉（$198） 朋友唔食牛，所以淨係叫咗豬，賣相都幾好！ 脂肪分佈都好平均，肉味好突出，滿意👏🏻 爽滑豬頸肉（$88） 名副其實夠爽口又嫩滑，切成條狀個口感更加豐富～ 黑蟹子墨魚滑（$88）& 蟹子鮮蝦滑（$88） 墨魚滑好爽口彈牙👍🏻 而且鍾意蟹子鮮蝦滑多啲，因為有原隻蝦係入面😋 鮮炸響鈴（$52） 炸響鈴好大條，即炸夠新鮮～ 索晒啲汁之後好惹味😛 娃娃菜（半份 $24）& 油麥菜（半份 $24） 兩款菜都好新鮮，而且可以叫半份，可以食多啲唔同種類😁 食雞煲都係食散叫嘅好，質素好之餘價錢又唔算好貴，個個都夠飽，下次要試芝士雞煲👍🏻,1
"終於黎到聞名己久極尚大喜屋食放題啦，以前一直覺得太貴所以唔黎食，今次揀左5點半特價時段可以試下啦。 一入門口感覺環境幾舒服，鐘意佢食物紙放得好整齊，佢會寫低檯no. 俾你以防唔記得。 首先叫最出名刺身啦😍，叫左幾款，食完覺得最出色係帆立貝同甜蝦，兩款都係又大又甜，之後都有再encore。 跟住到壽司，最欣賞係三文魚親子，魚子好大粒，中意佢壽司整得細細件，甘就食多幾款都唔會太飽。 再黎係一大碟灸燒壽司，覺得牛油燒帶子，鰻魚同鵝肝牛肉都好好食，牛油燒帶子牛油好香。 呢個時候我同男友分別叫左清酒同hite啤酒🍻飲下，清酒可以揀凍、熱，都幾好飲。 之後就到熟食啦，先黎烤扇貝、牛肉鍋、咖哩炒蟹，烤扇貝伴隨大量沙津醬，雖然好有罪惡感，但係好食既；牛肉鍋無得頂，應有配料牛肉、粉絲、菜、豆腐都有齊，上檯時牛肉仲係新既可以調較生熟度；咖哩炒蟹汁好辣，同埋用bb蟹，主要食汁。 到各式燒物啦，幾香口既，中規中矩啦。 食下健康野食左甘多邪惡野，叫左黑松露帆立貝柚子沙津、枝豆、麻醬豆腐。柚子沙津超級好食！黑松露同柚子出奇地夾，又新鮮同埋多款配料，清新！ 天婦羅都相當好食，全部都好食可以叫哂，炸漿夠薄，好脆，蝦好大隻，最緊要有天婦羅汁🤤 甜品都好多款式揀，質素都算中上，呢期雪糕有季節限定Haagen-daze tiramisu mochi, 每人只限食一杯雪糕哦！ 特別提到負責我地檯個位店員超好服務，由坐低開始友善提我地可以落住單先快有得食，又不時走過黎問我地係咪要加單，又會幫我地追返未到野食，臨走仲會問我地覺得食物點樣，態度超好！ 總結所有食物都有有質素，食得開心又放心，店員服務優質，環境舒服，唔嘈雜，可以邊食邊傾計，大滿足！！",1
Sodam又出新嘢啦～係有超多雞食嘅#三重雞鍋 ！有#韓式炸雞 ，#春川辣雞 同#安東燉雞 三款口味，炸雞一如既往炸得香脆多汁，春川辣雞辣味十足，配埋年糕食好似食緊辣炒年糕～不過有點偏油，如果加多點蔬菜類就更正👍🏻 handsup就最鐘意食安東燉雞😋味道夠濃又惹味，裡面嘅薯仔同粉絲吸哂醬汁，食落好滋味！ 除左鍋裡面有好多雞肉食，仲可以任選三款配料放埋落鍋打邊爐，我地就揀左金菇，韓式年糕同魚板，三款都係吸醬汁一流嘅食材🤤 依個餐包埋兩杯嘢飲，有汽水/果汁，雖然寫左二人份量，但handsup同男友都係食唔哂要打包😂 建議女仕們三至四位一齊食就岩岩好，有大食嘅朋友叫埋佢就最岩啦～,1
收工同朋友過左去觀塘線搵食，來到了位於黃大仙中心的和氣食堂，主打日本菜🇯🇵跟朋友被安排到四人座位，非常寬敞舒適             62               349   先點了溫泉玉子牛油果凱撒沙律沙律菜新鮮爽脆，牛油果非常香滑，但略嫌沙律醬太多             42   刺身三點盛三文魚厚切，很肥美，富魚脂香。帶子同牡丹蝦好新鮮，夠鮮甜！ 燒日本河豚魚乾燒得剛好的雞泡魚乾，一d都唔乾，甜甜的 金蒜燒日本米茄子面上鋪滿蒜蓉碎末，未放入口已經聞到蒜香，茄子燒得軟林，非常惹味啊！ 電擊雞翼配北海道芝士炸薯條幼身炸薯條撒上了微甜的芝士味粉，很特別啊！電擊雞翼的溫度是微冷的，是炸過然後再冷藏的雞翼，非常入味，芝麻令雞翼更加香口，意想不到的好味道啊！ 白咖喱烏冬配脆炸雞粒賣相吸引！濃淡適中的咖喱烏冬面上擠滿雪白的忌廉，烏冬Q彈富嚼勁，掛滿咖哩香的烏冬好好食！ 黑豚肩燒丼四大塊撒滿蔥花的燒黑豚肩肉充滿肉汁，底下佈滿洋蔥，拌飯吃一流 最後係特濃牛奶芭菲色彩繽紛的雪米糍粒非常煙韌，白玉Q彈，蕨餅抹茶味濃，牛奶味雪糕偏甜，吃到尾有點漏,1
之前朋友仔生日指定要食炸雞🍗光顧過 今日同男友在銅鑼灣行行下街突然又好想食雞炸啤酒🍻所以就又光臨啦             58   本身都係諗住食炸雞同水冷麵 點知見到佢出左個新雞煲 一個煲 3款雞分別係春川辣雞 安東燉雞 同韓式炸雞 難得食肉獸男友係到 就試試新野先 飲品則點到一支啤酒同菠蘿🍍汁 菠蘿汁幾新鮮 唔會好假 等左陣終於有野食啦 由於春川辣雞和安東燉雞要煲滾 而韓式炸雞🍗就已經準備好啦 同埋為免蒸氣會影響炸雞外皮 所以要趁早食了  炸雞水準不變 依舊係咁脆卜卜咁好食 然後到雞煲滾啦 所謂既春川辣雞和安東燉雞 個人認為食落去似滷水汁同泡菜味 其實2隻味都煲到d雞好入味 不過2者我覺得安東好食d 甜甜地 唔錯唔錯 另外送3款配料 選擇左午餐肉 紫薯年糕同菜 午餐肉配春川汁好好食 辣辣地好過隱 紫薯年糕有驚喜 之前未試過 煙煙un un口感太好了😋😋 最後食到飽一飽離場 因為原來底下還有粉絲 入曬味 冇得輸呀 所以已經好飽都食埋佢🤣🤣下次炸雞隱起 又會再返黎架啦😌,1
朋友請我食飯，當然朋友話事作主啦！佢拉咗我上七福神，我未幫襯過七福神喎，又睇吓有無驚喜先。 六品刺身盛，牛油焗帶子，七味燒魚翅，炸雞軟骨，鹽燒三文魚頭，芝士焗天火蠔三隻，每款一客。 蟹肉味噌甲羅燒？跟雙目珍珠飯？咩黎架？單睇個名稱都唔知咩黎嘅，於是乎點一客睇吓先。 其實，我從來未食過海膽魚籽丼，從未食過三文魚魚子，今次朋友請食飯，唔理價錢囉，唔貴唔叫囉.... 魔鬼上身添。 入到餐廳，見到好多落黎吹水嘅年輕仔女，有一種好居酒屋好 Relax 嘅感覺，再加上窗外就係彌敦道景色，令餐廳環境加分。 牛油焗嘅帶子係大大粒，唔係細細粒嘅珍珠帶子，欣賞！ 燒魚翅一直係我最愛嘅日本小食，每次有朋友去日本，知我中意食燒魚翅，都會買俾我做手信，眼前嘅燒魚翅送啤酒一流，不過Sorry，我唔飲酒嘅。 芝士焗蠔一出爐即上枱要小心辣手辣口，芝士份量夠多而且味濃，同焗蠔一齊放入口，芝士嘅咸香同鮮嫩嘅蠔結合，正！ 蟹肉味噌甲羅燒原來係將蟹肉同蟹膏混合后放番入蟹蓋燒，再附上紫菜同珍珠飯伴住一齊食，如果齋食蟹肉蟹膏又味重，用紫菜包住珍珠飯一齊食就正喇！哩款菜色夠特色有驚喜，有時間自己試吓整先！ 海膽同魚籽鋪滿飯面，顏色超吸引，海膽嘅鮮味夾住三文魚子嘅咸香連同珍珠飯一齊入口簡直殺死人，推介！ 餐廳嘅細節 (清潔嘅廁所同精美嘅餐牌)處理得唔錯，讚！ PS:今次食飯好開心，多謝你請我食飯，放心，信我，總有雨過天清一日，感恩。(^_^)             250,1
"已經隔咗一段長時間無去佐敦食飯，今晚心血來潮又想起最愛既日式料理店，於是決定放工跟老公一齊去回味一返。 坐位依舊闊落，空間感大。 餐牌款式比之前多了一點，價格亦上調一點點，但依舊非常扺吃。             97               117               112   關西風玉子燒 玉子燒色澤金黃，蛋味香濃，入口juicy , 超正👍🏻 蟹籽沙律（小） 份量相當驚人，有生菜絲，青瓜絲，蟹柳絲，加上蟹籽拌混，味道清新，蔬菜又爽甜。 牡丹蝦刺身 （4隻） 店員通知今日來貨比較大size 所以要每隻另加$5 ，我倆都比較喜歡大size,蝦肉爽甜彈牙，而且仲有好多蝦膏，正呀👍🏻 帶子刺身（6切） 帶子軟嫩鮮甜，肉質鮮美。 芝麻雞翼 外皮酥脆,芝麻香口，雞翼肉質鮮嫩多汁，果然依舊係我最愛❤️ 海膽壽司 海膽鮮甜無怪味，抵讚👍🏻 鰻魚炒飯 炒飯完全不油膩，鰻魚粒鮮甜惹味，味道啱啱好。 食咗咁多野都唔洗$600，真係超抵食，而且食物又有水準。",1
"朋友知我係芝士控, 尤其係處於熱熔狀態下的芝士, 於是就帶我去試左呢間馳名芝士鷄煲店由於時間尚早, 所以唔駛等位就可入座, 侍應送上落單紙, 見到食物選擇都幾多, 蔬菜, 菌類及丸類都有半份供應, 岩D 兩人顧客可以試多幾款 鷄煲味道除左芝士, 仲有麻辣口味, 我地當然選擇黃金芝士鷄煲呢個係小煲($148), 適合2-3人, 份量都幾多, 內裏有洋䓤, 煮幾分鐘後, 芝士熔晒後就可以開餐 由於有洋䓤關係, 打開煲蓋後有一陣香味湧上來, 芝士味道唔會過咸, 鷄肉算幾嫩滑, 連芝士一齊食, 好邪惡呀...............差不多食完個鷄煲, 侍應就會加湯作火煱湯底! 我地係呢個芝士配搭之選中叫左幾樣 新鮮牛頸脊 (小) ($188) - 份量多, 肉質望落幾新鮮, 稍為淥十幾秒就食得, 有肉味 鮮炸響鈴 ($48) - 每枱必叫食物, 淥十零秒就食得, 索晒D芝士湯底, 正! 手打五寶丸拼盤 ($88) - 每種各有兩粒, 包括墨魚, 鯪魚, 牛肉, 豬肉及蝦丸, 好足料, 個人推介蝦丸, 好彈牙 虎蝦 (6隻) ($88) - 好大隻, 絶對抵食, 肉質無""梅"" 娃娃菜 (半份) ($18) - 好鮮甜, 估唔到搭芝士湯底都好夾喎! 有芝士湯底, 無理由唔叫個公仔面作結束架?! ($10) 尤如食緊韓國既芝士面咁.................好滿足呀^^食完呢餐咁邪惡, 肥幾磅都抵既............哈!",2
今晚去Shine原本打算同朋友慶祝生日，一坐低打算先叫一杯暖水飲，但服務員竟然話沒有暖水供應，只可order蒸餾水或有氣礦泉水，聽了之後以為自己聽錯，再問一下服務員為何咁大間餐廳都沒有暖水供應，餐廳內其實有一個很大的酒吧枱，很難相信真的沒有暖水給客人飲用，亦曾對服務員說會order紅酒及其他酒類飲品，但服務員堅持說沒有暖水，這個要求基本上任何一間正常的餐廳都做得到，所以一氣之下埋單走人，寧願幫襯其他餐廳食飯！這種服務的餐廳不需要做光顧！,0
"今晚又跟吃素的好朋友聚會，去了她喜歡的2DP，因為這間是標榜無味精的西式素食餐廳。             64   二人晚市套餐 $328 for two Dinner set for 2 $328  add drink +$18 each (max.2)  沙律Salad/湯soup (3選1） 《無花果希臘芝士沙律》 有無花果、芝士、車厘茄、藜麥和雜菜，再配上意大利黑醋汁（於底部，記住拌勻哦），夠醒胃又健怡。 《頭盤Starter》(3選1） 芝士香草焗蘑菇 小蘑菇中釀了自家製香草醬，並嚐到有芝士味，細夥食得方便。 主菜 Main（8選2）： 《菠菜芝士西蘭花米型意粉》 好奇心下點了這個「意粉」，驟眼看以為是意大利飯，但原來是米型意大利粉，相當特別。忌廉菠菜醬汁足夠，但覺得西蘭花味比較香濃。當中還有西蘭花和車厘茄，再配上了利可達芝士提味，不錯。 《素牛漢堡伴薯條》 像真度高，用上的是自家製素牛堡，再以麥包夾著，之中還有生菜、番茄和酸青瓜作配料，配味用上燒烤醬和芝士，但可能是用麥包再翻熱的關係，整體口感有點乾身。 伴碟還有薯條和雜菜沙律。 跟餐可以轉其他飲品： 《烏龍青檸薄荷莫吉托Tea Mojito +$18》 （Lime, Mint, Oolong） 《洛神薄荷橘子Roselle +$18》 （Mint, Citrus, Honey） 兩款果茶類都清甜，而且特別。",1
今日去完黃大仙求神問卜之後 午餐去咗黃大仙中心南館搵食， 天氣開始熱熱地就揀咗一間日式餐館試一試， 最主要見佢幾多人食應該有保證。  門口menu見到有特飲，有定食，有雪糕有壽司， 價錢有幾相宜就叫咗服務員姐姐開咗位啦。  四圍的裝修亦很日式， 有壁畫有玩具 我點了一個和氣極強特盛定食. 內容包括有日式蒸水蛋 ，軟殼蟹沙律，特盛壽司及豚肉丼飯加飲品非常豐富 豚肉飯燒得剛剛好，汁醬易惹味。 壽司的每款餡料都很有質素及新鮮 而我愛人就点了壽喜牛肉鍋定食。 內容包括一個牛肉雜菜鍋，日式蒸水蛋，白飯及飲品。 最後加多個北海道牛奶軟雪糕筒作結尾。 超飽！  雖然第一次 嘗試， 但性價比高， 食物質素味道亦算很好,1
當你見到雜誌不停彈哩個廣告，間餐廳彈咁近我屋企，真係無理由唔試下。 黃大仙南館有翻新過，街市轉做舖，咁多間哩間最多人排隊。 成餐最好食一定係個燒肉飯，豬肉燒得好香，軟硬適中，60幾蚊真係唔貴～         唔需要再試既和牛串燒 哩個和牛串燒真係攞你命三千，串燒一黎到係唔熱，睇佢個樣似淥過，唔係燒過，睇返都有啲後悔無同經理講我最後食左2粒都頂佢唔順。 我始終都覺得，做開熟食唔好做咁多冷盤，我又要講多次，個曼魚壽司，成個都唔熱正常黎講，至少塊芝士都應該熱吧？啲飯又散修修... 我真心唔知再唔再黎好。,2
邊個話冬天先可以食火鍋？嘆住冷氣咁食火鍋一樣咁正！ 麻辣雞煲入味到不得了，每件雞都充滿住麻辣既香氣，而且雞肉淋滑無比，好味！ 為免太膩，另外要左個皮蛋芫茜鍋，估唔到咁足料，大量既皮蛋、粟米，仲有豆腐，淨食鍋料都飽唔少！ 點可以錯過呢度既手切牛頸脊？帶點嚼勁，牛味濃，啱哂我胃口！ 蝦滑啖啖都系蝦肉，誇張到... 蔬菜方便最鍾意雜菇同准山，兩者都好高質，尤其系准山綿而不粉，正好沖淡肉類既膩感！ 呢餐雖然唔平，但間中嘆下又何妨？,2
"新年食膩咗，今日同好友嘅聚會一於以健康為主！ 搵到尖沙咀呢間新式嘅素食餐廳，菜單原來好特別，係廚師推介黎架！ 🍠紫薯高麗菜忌廉濃湯 紫薯味唔算好濃, 但好creamy幾好飲！ 🍑素帶子水蜜桃沙律 味道清新, 素帶子的口感超似! 🍝竹炭芝士雜菌千層麵 ⭐強力推薦喔👍🏻 呢個超級驚喜😍因為味道拍得上酒店級水平👩🏻‍🍳 竹炭與芝士完美融合，形成好似香烤過嘅芝士香氣😌好味到不行！！！配上微酸嘅茄蓉🍅完全令人停唔到口啊👅～～～～～（口水） 而我當日飲嘅紅茶🍵 茶葉係由老闆由雲南親自挑選帶返香港✈️ 第一泡已經充滿濃香茶香😌 好耐冇認真嘆中式茶，今餐飯同朋友都覺得好滿足，下次一定要再encore!!💕",2
今晚友人帶我去食佐敦一間日本料理「七福神和食亭」，佢話平靚正～我問佢係咪放題，佢話唔係，佢叫我放心，抵食夾大件～ 店舖位於佐敦，近地鐵站，舖位設於2樓，地方ok，可以容納50-60人、有包廂位～晚上7:30上到去都有幾多人食，好在剛剛有枱，唔使等位 打開餐牌，都有好多野食，壽司唔算貴，特長三文魚腩壽司都係$22/2件，非常抵食～二話不說叫左2碟～             462               522               717           特長三文魚腩壽司 特長三文魚腩壽司，好肥美，新鮮有份量         天婦羅 天婦羅脆漿皮唔太厚，到枱面仍熱辣辣         軟殼蟹手卷 軟殼蟹手卷-即炸         石鍋海鮮湯烏冬 上枱石鍋海鮮烏冬熱辣辣，足料、烏冬夠滑         荔枝青蘋果梳打 $28荔枝青蘋果梳打，好夠氣，入面有一粒荔枝肉，甜甜地，好食 店內侍應服務不錯，好快手，有禮貌 平民價有咁好既質素，值得encore,1
